,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,Link,College WS
18,2000,12137,a.j.,granger,A.J. Granger,SF,79.5,6' 7.5'',,,227.0,81.5,6' 9.5'',103.0,8' 7'',,,,30.0,34.0,10.73,,3.25,20.0,,,,,,,,,,,,,,,,,,,,,,,,aj-granger-1,5.8
19,2000,2062,a.j.,guyton,A.J. Guyton,PG-SG,72.75,6' 0.75'',,,175.0,75.75,6' 3.75'',97.5,8' 1.5'',,,,33.0,37.5,10.55,,3.22,9.0,,,,,,,,,,,,,,,,,,,,,,,,aj-guyton-1,4.3
20,2000,2110,ron,hale,Ron Hale,SG-SF,79.5,6' 7.5'',,,202.0,83.0,6' 11'',104.5,8' 8.5'',,,,29.5,34.5,12.58,,3.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,ron-hale-1,2.2
21,2000,2078,jason,hart,Jason Hart,PG,73.75,6' 1.75'',,,181.0,78.0,6' 6'',97.5,8' 1.5'',,,,29.5,33.5,11.7,,3.34,9.0,,,,,,,,,,,,,,,,,,,,,,,,jason-hart-1,3.6
22,2000,2051,donnell,harvey,Donnell Harvey,PF,79.25,6' 7.25'',,,220.0,84.5,7' 0.5'',105.5,8' 9.5'',,,,33.0,32.5,11.23,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,donnell-harvey-1,4.0
23,2000,12138,johnny,hemsley,Johnny Hemsley,SG-SF,74.75,6' 2.75'',,,200.0,80.0,6' 8'',100.5,8' 4.5'',,,,31.5,35.0,11.5,,3.19,5.0,,,,,,,,,,,,,,,,,,,,,,,,johnny-hemsley-1,3.2
24,2000,12139,michael,hermon,Michael Hermon,SG-PG,74.75,6' 2.75'',,,195.0,78.25,6' 6.25'',98.5,8' 2.5'',,,,29.0,33.0,11.79,,3.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,michael-hermon-1,
25,2000,2083,cory,hightower,Cory Hightower,SG-SF,77.5,6' 5.5'',,,183.0,83.0,6' 11'',101.5,8' 5.5'',,,,29.5,34.5,11.92,,3.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,cory-hightower-1,1.0
26,2000,12140,shaheen,holloway,Shaheen Holloway,PG,69.5,5' 9.5'',,,174.0,70.0,5' 10'',91.0,7' 7'',,,,,,11.22,,3.32,6.0,,,,,,,,,,,,,,,,,,,,,,,,shaheen-holloway-1,4.3
27,2000,2067,eddie,house,Eddie House,SG-PG,71.75,5' 11.75'',,,176.5,75.5,6' 3.5'',95.0,7' 11'',,,,29.5,38.5,11.12,,3.27,5.0,,,,,,,,,,,,,,,,,,,,,,,,eddie-house-1,4.5
28,2000,2111,jimmie,hunter,Jimmie Hunter,SG-PG,75.0,6' 3'',,,170.0,80.0,6' 8'',100.0,8' 4'',,,,29.0,36.0,11.23,,3.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,jimmie-hunter-1,1.8
29,2000,12141,jacob,jaacks,Jacob Jaacks,PF,81.25,6' 9.25'',,,238.0,83.0,6' 11'',105.5,8' 9.5'',,,,26.0,32.0,11.48,,3.58,3.0,,,,,,,,,,,,,,,,,,,,,,,,jacob-jaacks-1,2.8
30,2000,2060,marko,jaric,Marko Jaric,SG-SF,78.5,6' 6.5'',,,210.0,81.0,6' 9'',104.0,8' 8'',,,,27.5,33.0,11.32,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,marko-jaric-1,N/A
31,2000,12142,nate,johnson,Nate Johnson,SF,78.5,6' 6.5'',,,211.5,80.5,6' 8.5'',104.0,8' 8'',,,,27.0,33.5,11.9,,3.33,13.0,,,,,,,,,,,,,,,,,,,,,,,,nate-johnson-1,0.3
32,2000,12143,kenyon,jones,Kenyon Jones,PF-C,81.0,6' 9'',,,282.0,85.0,7' 1'',108.0,9' 0'',,,,28.5,30.0,12.44,,3.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,kenyon-jones-1,3.3
33,2000,2077,mark,karcher,Mark Karcher,SG,76.0,6' 4'',,,218.0,80.0,6' 8'',102.5,8' 6.5'',,,,27.5,30.5,11.51,,3.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,mark-karcher-1,3.7
34,2000,12144,brandon,kurtz,Brandon Kurtz,PF-C,81.5,6' 9.5'',,,257.0,83.25,6' 11.25'',106.5,8' 10.5'',,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,brandon-kurtz-1,5.9
35,2000,2061,dan,langhi,Dan Langhi,SF,81.0,6' 9'',,,197.5,80.0,6' 8'',104.0,8' 8'',,,,31.0,34.5,10.85,,3.24,12.0,,,,,,,,,,,,,,,,,,,,,,,,dan-langhi-1,5.3
36,2000,2090,justin,love,Justin Love,PG-SG,73.5,6' 1.5'',,,205.5,76.5,6' 4.5'',97.5,8' 1.5'',,,,31.0,38.5,10.99,,3.31,24.0,,,,,,,,,,,,,,,,,,,,,,,,justin-love-1,5.3
37,2000,2058,mark,madsen,Mark Madsen,PF,80.0,6' 8'',,,236.5,84.5,7' 0.5'',104.5,8' 8.5'',,,,30.5,33.5,12.12,,3.46,13.0,,,,,,,,,,,,,,,,,,,,,,,,mark-madsen-1,4.2
38,2000,2082,dan,mcclintock,Dan McClintock,C-PF,83.0,6' 11'',,,250.0,85.5,7' 1.5'',107.0,8' 11'',,,,33.0,35.0,11.52,,3.33,20.0,,,,,,,,,,,,,,,,,,,,,,,,dan-mcclintock-1,4.5
39,2000,2087,pete,mickeal,Pete Mickeal,SG-SF,77.0,6' 5'',,,222.0,81.5,6' 9.5'',103.5,8' 7.5'',,,,28.0,34.5,10.83,,3.06,8.0,,,,,,,,,,,,,,,,,,,,,,,,pete-mickeal-1,5.5
40,2000,12145,brian,montonati,Brian Montonati,PF,80.75,6' 8.75'',,,215.0,82.5,6' 10.5'',106.0,8' 10'',,,,25.0,29.0,11.85,,3.53,5.0,,,,,,,,,,,,,,,,,,,,,,,,brian-montonati-1,5.4
41,2000,2508,gabe,muoneke,Gabe Muoneke,PF-SF,78.25,6' 6.25'',,,244.0,84.5,7' 0.5'',105.0,8' 9'',,,,30.5,34.0,11.0,,3.4,22.0,,,,,,,,,,,,,,,,,,,,,,,,gabe-muoneke-1,4.6
42,2000,12146,ndongo,n'diaye,Ndongo N'diaye,C,83.5,6' 11.5'',,,208.0,87.5,7' 3.5'',112.5,9' 4.5'',,,,24.5,27.5,13.16,,3.69,4.0,,,,,,,,,,,,,,,,,,,,,,,,ndongo-n'diaye-1,N/A
43,2000,2059,eduardo,najera,Eduardo Najera,PF-SF,78.5,6' 6.5'',,,234.5,83.5,6' 11.5'',104.5,8' 8.5'',,,,28.0,35.0,11.38,,3.45,15.0,,,,,,,,,,,,,,,,,,,,,,,,eduardo-najera-1,6.3
44,2000,12147,matthew,nielsen,Matthew Nielsen,PF,81.0,6' 9'',,,223.0,82.5,6' 10.5'',106.0,8' 10'',,,,26.0,29.0,11.28,,3.35,3.0,,,,,,,,,,,,,,,,,,,,,,,,matthew-nielsen-1,N/A
45,2000,2084,chris,porter,Chris Porter,SF-PF,77.5,6' 5.5'',,,214.0,81.5,6' 9.5'',103.5,8' 7.5'',,,,28.5,35.0,10.93,,3.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,chris-porter-1,4.1
46,2000,2068,lavor,postell,Lavor Postell,SG,76.5,6' 4.5'',,,205.0,80.5,6' 8.5'',101.5,8' 5.5'',,,,33.5,36.5,11.79,,3.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,lavor-postell-1,2.2
47,2000,2080,igor,rakocevic,Igor Rakocevic,PG,74.5,6' 2.5'',,,184.0,77.25,6' 5.25'',100.0,8' 4'',,,,27.5,34.0,10.4,,3.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,igor-rakocevic-1,N/A
48,2000,12148,reed,rawlings,Reed Rawlings,SG-SF,78.25,6' 6.25'',,,218.0,81.25,6' 9.25'',104.0,8' 8'',,,,28.5,33.5,11.1,,3.27,13.0,,,,,,,,,,,,,,,,,,,,,,,,reed-rawlings-1,4.9
49,2000,2072,michael,redd,Michael Redd,SG-SF,76.75,6' 4.75'',,,214.0,81.0,6' 9'',102.0,8' 6'',,,,27.0,31.0,12.06,,3.34,12.0,,,,,,,,,,,,,,,,,,,,,,,,michael-redd-1,4.0
50,2000,12149,damon,reed,Damon Reed,PF-C,80.5,6' 8.5'',,,228.0,81.5,6' 9.5'',104.5,8' 8.5'',,,,27.5,31.5,11.21,,3.31,4.0,,,,,,,,,,,,,,,,,,,,,,,,damon-reed-1,N/A
51,2000,12021,aubrey,reese,Aubrey Reese,PG,70.75,5' 10.75'',,,189.0,77.5,6' 5.5'',94.5,7' 10.5'',,,,31.5,37.5,11.13,,3.25,14.0,,,,,,,,,,,,,,,,,,,,,,,,aubrey-reese-1,5.8
52,2000,2121,terrance,roberson,Terrance Roberson,SF,77.5,6' 5.5'',,,209.0,80.0,6' 8'',103.5,8' 7.5'',,,,29.0,32.5,11.66,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,terrance-roberson-1,3.6
53,2000,12022,julius doc,robinson,Julius Doc Robinson,PG,72.0,6' 0'',,,184.0,75.75,6' 3.75'',95.5,7' 11.5'',,,,30.0,37.5,12.54,,3.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,julius doc-robinson-1,N/A
54,2000,12023,pepe,sanchez,Pepe Sanchez,PG,75.0,6' 3'',,,194.0,75.5,6' 3.5'',96.0,8' 0'',,,,26.0,31.0,11.62,,3.44,8.0,,,,,,,,,,,,,,,,,,,,,,,,pepe-sanchez-1,4.4
55,2000,12024,matt,santangelo,Matt Santangelo,PG,72.0,6' 0'',,,177.0,75.0,6' 3'',94.0,7' 10'',,,,33.5,43.0,10.66,,3.06,12.0,,,,,,,,,,,,,,,,,,,,,,,,matt-santangelo-1,2.4
56,2000,2637,alex,scales,Alex Scales,SG-PG,74.25,6' 2.25'',,,184.5,81.0,6' 9'',97.5,8' 1.5'',,,,38.5,42.5,10.98,,3.21,10.0,,,,,,,,,,,,,,,,,,,,,,,,alex-scales-1,3.8
57,2000,12025,karim,shabazz,Karim Shabazz,C,83.5,6' 11.5'',,,224.0,87.0,7' 3'',111.5,9' 3.5'',,,,24.5,28.0,12.72,,3.36,2.0,,,,,,,,,,,,,,,,,,,,,,,,karim-shabazz-1,1.8
58,2000,12026,nick,sheppard,Nick Sheppard,PF-C,81.5,6' 9.5'',,,273.0,83.0,6' 11'',107.5,8' 11.5'',,,,23.5,25.5,12.14,,3.52,18.0,,,,,,,,,,,,,,,,,,,,,,,,nick-sheppard-1,1.8
59,2000,2065,mike,smith,Mike Smith,SF,78.5,6' 6.5'',,,198.0,80.5,6' 8.5'',103.0,8' 7'',,,,33.0,21.0,11.32,,3.22,12.0,,,,,,,,,,,,,,,,,,,,,,,,mike-smith-1,4.6
60,2000,2074,jabari,smith,Jabari Smith,PF-C,81.75,6' 9.75'',,,240.5,86.5,7' 2.5'',109.5,9' 1.5'',,,,24.5,30.0,12.45,,3.43,15.0,,,,,,,,,,,,,,,,,,,,,,,,jabari-smith-1,5.2
61,2000,12027,jarrett,stephens,Jarrett Stephens,PF,77.25,6' 5.25'',,,258.0,81.25,6' 9.25'',103.0,8' 7'',,,,27.0,29.0,11.98,,3.46,13.0,,,,,,,,,,,,,,,,,,,,,,,,jarrett-stephens-1,6.0
62,2000,12028,bootsy,thornton,Bootsy Thornton,SG,75.5,6' 3.5'',,,194.5,78.5,6' 6.5'',101.5,8' 5.5'',,,,26.5,31.0,12.08,,3.33,7.0,,,,,,,,,,,,,,,,,,,,,,,,bootsy-thornton-1,3.6
63,2000,12029,jaquay,walls,Jaquay Walls,PG,73.25,6' 1.25'',,,165.5,74.5,6' 2.5'',96.5,8' 0.5'',,,,28.5,35.5,10.75,,3.23,0.0,,,,,,,,,,,,,,,,,,,,,,,,jaquay-walls-1,4.7
64,2000,12030,jameel,watkins,Jameel Watkins,PF-C,81.5,6' 9.5'',,,244.5,90.0,7' 6'',110.0,9' 2'',,,,28.0,30.5,12.38,,3.45,11.0,,,,,,,,,,,,,,,,,,,,,,,,jameel-watkins-1,1.4
65,2001,12033,adam,allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259.0,84.5,7' 0.5'',107.0,8' 11'',12.4,,,28.5,31.0,11.9,,3.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,adam-allenspach-1,0.7
66,2001,2240,gilbert,arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199.0,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,,31.5,36.0,,,3.25,12.0,,,,,,,,,,,,,,,,,,,,,,,,gilbert-arenas-1,5.5
67,2001,2220,brandon,armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188.0,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,,30.0,37.0,10.91,,3.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,brandon-armstrong-1,4.8
68,2001,2203,shane,battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229.0,82.5,6' 10.5'',105.0,8' 9'',9.3,,,29.5,33.0,10.95,,3.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,shane-battier-1,10.1
69,2001,12034,cookie,belcher,Cookie Belcher,SG-PG,75.0,6' 3'',,,206.0,80.5,6' 8.5'',99.0,8' 3'',5.3,,,35.0,41.5,11.26,,2.91,7.0,,,,,,,,,,,,,,,,,,,,,,,,cookie-belcher-1,3.3
70,2001,2294,charlie,bell,Charlie Bell,PG,74.5,6' 2.5'',,,200.0,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,,31.5,38.0,10.59,,3.12,15.0,,,,,,,,,,,,,,,,,,,,,,,,charlie-bell-1,3.9
71,2001,2257,ruben,boumtje-boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245.0,88.0,7' 4'',111.0,9' 3'',6.0,,,26.5,31.0,11.84,,3.33,6.0,,,,,,,,,,,,,,,,,,,,,,,,ruben-boumtje-boumtje-1,5.4
72,2001,12035,calvin,bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214.0,83.5,6' 11.5'',104.0,8' 8'',8.6,,,28.5,34.5,11.96,,3.21,7.0,,,,,,,,,,,,,,,,,,,,,,,,calvin-bowman-1,4.5
73,2001,2214,michael,bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227.0,85.5,7' 1.5'',107.0,8' 11'',9.3,,,27.0,30.0,11.11,,3.35,13.0,,,,,,,,,,,,,,,,,,,,,,,,michael-bradley-1,6.4
74,2001,2249,jamison,brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178.0,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,,26.0,32.5,9.65,,3.15,12.0,,,,,,,,,,,,,,,,,,,,,,,,jamison-brewer-1,2.9
75,2001,2198,kwame,brown,Kwame Brown,PF-C,82.0,6' 10'',,,243.0,85.0,7' 1'',108.0,9' 0'',8.9,,,30.0,33.0,11.59,,3.45,17.0,,,,,,,,,,,,,,,,,,,,,,,,kwame-brown-1,
