,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,College WS
40,2000,12145,brian,montonati,Brian Montonati,PF,81.06697247706421,215.0,82.5,106.0,8.297264573991031,8.996644295302014,9.674496644295303,25.0,29.0,11.85,5.4
41,2000,2508,gabe,muoneke,Gabe Muoneke,PF-SF,80.90322580645162,244.0,84.5,105.0,8.627380952380953,8.886363636363637,9.613636363636363,30.5,34.0,11.0,4.6
43,2000,2059,eduardo,najera,Eduardo Najera,PF-SF,80.90322580645162,234.5,83.5,104.5,8.627380952380953,8.886363636363637,9.613636363636363,28.0,35.0,11.38,6.3
45,2000,2084,chris,porter,Chris Porter,SF-PF,80.2108695652174,214.0,81.5,103.5,7.656875,8.732142857142858,9.482142857142858,28.5,35.0,10.93,4.1
46,2000,2068,lavor,postell,Lavor Postell,SG,77.0844387755102,205.0,80.5,101.5,6.669059405940595,8.537337662337663,9.238636363636363,33.5,36.5,11.79,2.2
48,2000,12148,reed,rawlings,Reed Rawlings,SG-SF,78.06458333333333,218.0,81.25,104.0,6.6845070422535215,8.636904761904763,9.363095238095237,28.5,33.5,11.1,4.9
49,2000,2072,michael,redd,Michael Redd,SG-SF,78.06458333333333,214.0,81.0,102.0,6.6845070422535215,8.636904761904763,9.363095238095237,27.0,31.0,12.06,4.0
51,2000,12021,aubrey,reese,Aubrey Reese,PG,74.13069306930693,189.0,77.5,94.5,6.420143540669856,8.291353383458647,8.971804511278195,31.5,37.5,11.13,5.8
52,2000,2121,terrance,roberson,Terrance Roberson,SF,79.70833333333333,209.0,80.0,103.5,6.9714285714285715,8.788461538461538,9.439903846153847,29.0,32.5,11.66,3.6
54,2000,12023,pepe,sanchez,Pepe Sanchez,PG,74.13069306930693,194.0,75.5,96.0,6.420143540669856,8.291353383458647,8.971804511278195,26.0,31.0,11.62,4.4
55,2000,12024,matt,santangelo,Matt Santangelo,PG,74.13069306930693,177.0,75.0,94.0,6.420143540669856,8.291353383458647,8.971804511278195,33.5,43.0,10.66,2.4
56,2000,2637,alex,scales,Alex Scales,SG-PG,76.04464285714286,184.5,81.0,97.5,6.5390625,8.557692307692308,9.326923076923077,38.5,42.5,10.98,3.8
57,2000,12025,karim,shabazz,Karim Shabazz,C,83.58010752688172,224.0,87.0,111.5,9.239619047619048,9.194029850746269,9.936567164179104,24.5,28.0,12.72,1.8
58,2000,12026,nick,sheppard,Nick Sheppard,PF-C,82.11810344827587,273.0,83.0,107.5,9.297540983606558,9.235294117647058,9.875,23.5,25.5,12.14,1.8
59,2000,2065,mike,smith,Mike Smith,SF,79.70833333333333,198.0,80.5,103.0,6.9714285714285715,8.788461538461538,9.439903846153847,33.0,21.0,11.32,4.6
60,2000,2074,jabari,smith,Jabari Smith,PF-C,82.11810344827587,240.5,86.5,109.5,9.297540983606558,9.235294117647058,9.875,24.5,30.0,12.45,5.2
61,2000,12027,jarrett,stephens,Jarrett Stephens,PF,81.06697247706421,258.0,81.25,103.0,8.297264573991031,8.996644295302014,9.674496644295303,27.0,29.0,11.98,6.0
62,2000,12028,bootsy,thornton,Bootsy Thornton,SG,77.0844387755102,194.5,78.5,101.5,6.669059405940595,8.537337662337663,9.238636363636363,26.5,31.0,12.08,3.6
